can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$852.99", ,"$15,978.12",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4806,201509109001633210,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$853.67", ,"$16,831.79",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4807,201509109001633210,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$855.74", ,"$18,537.43",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4809,201509109001633211,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$857.69", ,"$19,395.12",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4810,201509109001633212,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$866.22", ,"$15,125.13",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4805,201509109001633209,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$925.59", ,"$20,320.71",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1024429,N,SE.4811,201509109001633212,09/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$8.63", ,"$4,267.15",Support,Online Advertising: Facebook,The Prosper Group Corporation,1013262,N,SE.4619,201507109000079849,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$30.80", ,"$4,258.52",Support,Online Advertising: Facebook,The Prosper Group Corporation,1013262,N,SE.4618,201507109000079849,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$312.21", ,"$4,227.72",Support,Online Advertising: Facebook/Twitter,The Prosper Group Corporation,1013262,N,SE.4617,201507109000079848,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$415.51", ,"$3,915.51",Support,Online Advertising: Facebook/Twitter,The Prosper Group Corporation,1013262,N,SE.4616,201507109000079848,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$3,500.00", ,"$3,500.00",Support,Video Production,Chatham Light Media LLC,1013262,N,SE.4611,201507109000079846,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$6,500.00",07/07/2015,"$10,767.15",Support,Video Production,Chatham Light Media LLC,1013262,N,SE.4609,201507109000079846,07/10/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$1,945.00",09/01/2015,"$1,761,085.00",Support,Video Production - Shipping,Chatham Light Media LLC,1023977,N,SE.4764,201509029001589880,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$668,922.50",08/28/2015,"$1,759,140.00",Support,Media Buy - TV/Cable,Pinpoint Media LLC,1023977,N,SE.4762,201509029001589882,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$311.02", ,"$13,044.84",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023977,N,SE.4773,201509029001589884,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$393.26", ,"$11,914.26",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023977,N,SE.4770,201509029001589883,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$401.62", ,"$12,733.82",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023977,N,SE.4772,201509029001589884,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$417.94", ,"$12,332.20",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023977,N,SE.4771,201509029001589883,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$495.00",09/02/2015,"$2,164,630.98",Support,Digital Ad Production,Chatham Light Media LLC,1023977,N,SE.4776,201509029001589880,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$526.14", ,"$13,570.98",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023977,N,SE.4774,201509029001589885,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$152,000.00",08/28/2015,"$2,163,810.98",Support,Media Buy - Digital,Pinpoint Media LLC,1023977,N,SE.4763,201509029001589882,09/02/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$15,400.00",07/17/2015,"$464,635.00",Support,Video Production,Chatham Light Media LLC,1017221,N,SE.4635,201507219000352948,07/21/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$449,235.00",07/15/2015,"$449,235.00",Support,Media Placement - TV/Cable/Digital,Pinpoint Media LLC,1017221,N,SE.4636,201507219000352948,07/21/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$1.91", ,"$11,521.00",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1023615,N,SE.4755,201508289001585872,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$11.92", ,"$11,519.09",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1023615,N,SE.4754,201508289001585872,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$15.99", ,"$8,512.89",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1023615,N,SE.4734,201508289001585867,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$89.29", ,"$8,602.18",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4735,201508289001585867,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$224.17", ,"$11,507.17",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4751,201508289001585871,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$241.48", ,"$9,272.88",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4737,201508289001585868,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$256.06", ,"$8,496.90",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1023615,N,SE.4733,201508289001585866,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$325.00", ,"$11,846.00",Support,Video Production - Shipping,Chatham Light Media LLC,1023615,N,SE.4757,201508289001585864,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$345.30", ,"$11,283.00",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4750,201508289001585871,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$364.49", ,"$10,554.96",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4748,201508289001585870,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$382.74", ,"$10,937.70",Support,Digital Advertising - Facebook/Google/Twitter,The Prosper Group Corporation,1023615,N,SE.4749,201508289001585870,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$429.22", ,"$9,031.40",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4736,201508289001585868,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$429.80", ,"$10,190.47",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4747,201508289001585869,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$487.79", ,"$9,760.67",Support,Digital Advertising - Facebook/Google,The Prosper Group Corporation,1023615,N,SE.4746,201508289001585869,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$15,620.00",08/26/2015,"$2,010,086.00",Support,Video Production,Chatham Light Media LLC,1023615,N,SE.4723,201508289001585864,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P, ,00,P,Rep,"$950,060.00",08/24/2015,"$1,994,466.00",Support,Media Buy - Cable (National),Pinpoint Media LLC,1023615,N,SE.4725,201508289001585866,08/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$358,035.00",07/21/2015,"$822,670.00",Support,Media Placement - TV/Cable,Pinpoint Media LLC,1018436,N,SE.4643,201507289000437212,07/28/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$133.84",11/02/2015,"$13,049.52",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5659,201512019004123334,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$134.93",11/02/2015,"$13,184.45",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5665,201512019004123336,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$145.80",11/02/2015,"$13,330.25",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5667,201512019004123337,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$179.26",11/18/2015,"$82,284.73",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5655,201512019004123358,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$219.81",11/02/2015,"$13,819.26",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5686,201512019004123341,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$336.00",11/18/2015,"$82,105.47",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5652,201512019004123357,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$452.86",11/18/2015,"$83,953.06",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5731,201512019004123359,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$596.95",11/18/2015,"$82,961.52",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5632,201512019004123355,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$612.37",11/18/2015,"$85,823.08",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5741,201512019004123362,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$620.49",11/18/2015,"$85,210.71",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5737,201512019004123361,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$635.45",11/18/2015,"$87,104.96",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5749,201512019004123364,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$637.16",11/18/2015,"$84,590.22",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5733,201512019004123360,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$641.86",11/18/2015,"$88,397.42",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5758,201512019004123366,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$646.43",11/18/2015,"$86,469.51",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5745,201512019004123363,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$650.60",11/18/2015,"$87,755.56",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5753,201512019004123365,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,IA,00,P,Rep,"$660.23",11/18/2015,"$89,057.65",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5762,201512019004123367,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$15.27",11/02/2015,"$5,332,641.45",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5678,201512019004123340,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$23.42",11/18/2015,"$5,933,248.13",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5650,201512019004123357,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$67.25",11/18/2015,"$5,940,603.56",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5767,201512019004123369,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$79.84",11/18/2015,"$5,933,843.23",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5631,201512019004123355,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$100.31",11/10/2015,"$5,472,492.92",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5635,201512019004123352,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$120.79",11/02/2015,"$5,332,626.18",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5674,201512019004123339,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$133.14",11/02/2015,"$5,332,774.59",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5685,201512019004123341,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$133.84",11/02/2015,"$5,332,224.66",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5660,201512019004123336,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$134.93",11/02/2015,"$5,332,359.59",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5666,201512019004123337,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$145.80",11/02/2015,"$5,332,505.39",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1034584,N,SE.5668,201512019004123338,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$179.26",11/18/2015,"$5,933,763.39",Support,Digital Advertising - Twitter,The Prosper Group Corporation,1034584,N,SE.5656,201512019004123359,12/01/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$897.21", ,"$20,121.42",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1030614,N,SE.5201,201510209003169151,10/20/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$930.99", ,"$18,372.05",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1030614,N,SE.5199,201510209003169149,10/20/2015, 
P60008521,"Christie, Christopher J.",C00573055,America Leads,P,NH,00,P,Rep,"$1,006.64", ,"$21,128.06",Support,Digital Advertising - Facebook,The Prosper Group Corporation,1030614,N,SE.5202,201510209003169152,10/20/2015, 
